#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
13776.415735,4805,544.1303016306.74922,5418,676.074973
15301.411226,5236,779.9499849236476.668845,2169,943.566414128.904924,4889,1447.071232
1412188.88798,4145,1612.880599519.805833,3236,1864.625106
333702.370784,11658,2996.77518
11570.989789,4138,3465.899314
5670.656037,2046,3698.099264
1600.896887,542,3759.360911
3143.758449,1079,3881.638003
1153.910383,622,3952.041468
0.406466,21,3954.408701
-19.87306,5,3954.974651
1271.9018.983734,3349,4016.384841.844212,1710,4197.456979
-23.63096.767793,1084,4248.743347
12767.528313,4330,4738.244621
1628.59569,539,4799.421153
3300.148824,1080,4921.742514
1572.946348,432,4970.61133
9227.307702,3148,5325.931408
54.419551,101,5337.336737
16216.371097,5287,5936.305364
6691.729326042.947148,8636,6314990.326216503.758903,2170,6562.486152
14635.338027,4962,7123.053783
-24.066703,1,7123.157854
-24.50896,2,7123.383458
38.570795,94,7134.017263
618.7031,398,7179.029248
-21.612327,3,7179.362309
-202978.75835,1410,7332.413833.958991,4985,7742.487929
-22.772163.70909,930,7761745.274183808.573782,1403,7926.323576
9684.852491,3350,8305.11084
4808.030259,1628,8488.891013
2952.969205,1046,8606.768129
-21.640948,1,8606.872287
-21.178459,1,8606.98888
-21.448877,1,8607.098921202997.995606,1215,8744.237785
383.963649,109,8756.701394
3033.760451,1278,8901.075702
7174.960894,2579,9192.076421
1650.977159,540,9253.214476
1651.917555,637,9325.090376
-21.586057,3,9325.431172
-22.95352,1,9325.53629
-23.44478,2,9325.766274
7447.52329,2765,9637.847062
3967.582858,1501,9807.821268
1667.825351,543,9869.223074
817.254545,347,9908.192521
3018.760589,1201,10044.032023
89.699152,193,10065.810291
1319.73894,446,10116.223071
39.078334,108,10128.347719
1113.737649,529,10188.410468
737.881218,321,10224.612905
700.590325,325,10261.280523
1181.486169,508,10318.401576
4726.977127,1525,10491.039712
2784.607565,1097,10614.955902
2763.694581,838,10709.674785
3231.195616,1088,10832.594717
4420.88629,1494,11001.327518
4609.367368,1792,11204.106917
4759.30922,1490,11372.307808
1679.313263,646,11445.429679
